x    y
-10.0000    170.7098
-9.7980    155.3093
-9.5960    156.6135
-9.3939    156.2415
-9.1919    131.1599
-8.9899    145.5455
-8.7879    138.4379
-8.5859    121.0889
-8.3838    131.8248
-8.1818    99.1632
-7.9798    124.6923
-7.7778    97.3157
-7.5758    98.5893
-7.3737    98.6425
-7.1717    99.4496
-6.9697    92.5603
-6.7677    88.6668
-6.5657    72.6486
-6.3636    59.1398
-6.1616    65.3997
-5.9596    46.9151
-5.7576    36.4524
-5.5556    49.0491
-5.3535    49.4375
-5.1515    33.3848
-4.9495    26.9044
-4.7475    35.8956
-4.5455    34.8889
-4.3434    33.0765
-4.1414    27.0062
-3.9394    6.0688
-3.7374    22.8802
-3.5354    36.4136
-3.3333    5.4345
-3.1313    22.0241
-2.9293    17.5671
-2.7273    19.3213
-2.5253    -6.2560
-2.3232    4.7775
-2.1212    5.8258
-1.9192    -5.9529
-1.7172    11.8721
-1.5152    8.5908
-1.3131    19.9306
-1.1111    -0.7076
-0.9091    13.6678
-0.7071    22.3224
-0.5051    18.8151
-0.3030    0.6323
-0.1010    -4.9617
0.1010    11.6305
0.3030    11.8898
0.5051    8.6412
0.7071    17.5177
0.9091    5.6385
1.1111    1.8060
1.3131    -10.1838
1.5152    10.8433
1.7172    25.4954
1.9192    36.3267
2.1212    30.5438
2.3232    21.0122
2.5253    37.0990
2.7273    32.2366
2.9293    26.4638
3.1313    20.5067
3.3333    19.7017
3.5354    23.5110
3.7374    42.0989
3.9394    47.0478
4.1414    55.2313
4.3434    55.3324
4.5455    63.2548
4.7475    63.9535
4.9495    71.3246
5.1515    67.1226
5.3535    73.2594
5.5556    79.4284
5.7576    72.5526
5.9596    93.2767
6.1616    84.1706
6.3636    84.1859
6.5657    112.5415
6.7677    100.5512
6.9697    134.3246
7.1717    137.0671
7.3737    119.0086
7.5758    138.2686
7.7778    155.2345
7.9798    137.3928
8.1818    164.5784
8.3838    183.5912
8.5859    187.0766
8.7879    187.1886
8.9899    195.8715
9.1919    191.0492
9.3939    213.2818
9.5960    218.1387
9.7980    250.4336
10.0000    245.9088
